3001,4.991,-34.271
3002,4.991,-34.406
3003,4.991,-34.585
3004,4.991,-33.651
3005,4.991,-32.711
3006,4.991,-33.093
3007,4.991,-32.189
3008,4.991,-31.72
3009,4.991,-31.105
3010,4.991,-30.816
3011,4.991,-30.116
3012,4.991,-30.011
3013,4.991,-29.781
3014,4.991,-29.503
3015,4.991,-29.459
3016,4.991,-29.558
3017,4.991,-29.783
3018,4.991,-30.819
3019,4.991,-30.473
3020,4.991,-31.127
3021,4.991,-32.063
3022,4.991,-32.209
3023,4.991,-32.596
3024,4.991,-33.165
3025,4.991,-33.519
3026,4.991,-34.483
3027,4.991,-34.225
3028,4.991,-34.123
3029,4.991,-34.629
3030,4.991,-34.162
3031,4.991,-34.859
3032,4.991,-36.046
3033,4.991,-35.985
3034,4.991,-35.974
3035,4.991,-36.985
3036,4.991,-35.488
3037,4.991,-35.104
3038,4.991,-35.928
3039,4.991,-35.513
3040,4.991,-35.623
3041,4.991,-35.832
3042,4.991,-35.653
3043,4.991,-35.966
3044,4.991,-36.293
3045,4.991,-35.414
3046,4.991,-35.109
3047,4.991,-34.656
3048,4.991,-34.442
3049,4.991,-35.197
3050,4.991,-33.703
3051,4.991,-33.53
3052,4.991,-33.434
3053,4.991,-33.568
3054,4.991,-32.423
3055,4.991,-32.673
3056,4.991,-32.437
3057,4.991,-31.637
3058,4.991,-31.409
3059,4.991,-31.025
3060,4.991,-30.605
3061,4.991,-30.473
3062,4.991,-29.783
3063,4.991,-30.017
3064,4.991,-29.641
3065,4.991,-29.33
3066,4.991,-29.715
3067,4.991,-29.715
3068,4.991,-30.146
3069,4.991,-30.695
3070,4.991,-31.135
3071,4.991,-31.308
3072,4.991,-31.456
3073,4.991,-31.802
3074,4.991,-32.165
3075,4.991,-32.283
3076,4.991,-33.335
3077,4.991,-33.145
3078,4.991,-34.958
3079,4.991,-34.612
3080,4.991,-34.321
3081,4.991,-35.024
3082,4.991,-35.389
3083,4.991,-37.095
3084,4.991,-35.584
3085,4.991,-34.859
3086,4.991,-36.161
3087,4.991,-35.378
3088,4.991,-35.862
3089,4.991,-35.214
3090,4.991,-35.845
3091,4.991,-35.538
3092,4.991,-34.455
3093,4.991,-36.603
3094,4.991,-36.417
3095,4.991,-37.521
3096,4.991,-34.958
3097,4.991,-34.818
3098,4.991,-35.617
3099,4.991,-34.763
3100,4.991,-34.406
3101,4.991,-33.5
3102,4.991,-32.986
3103,4.991,-32.67
3104,4.991,-32.632
3105,4.991,-32.937
3106,4.991,-32.077
3107,4.991,-31.283
3108,4.991,-31.044
3109,4.991,-31.05
3110,4.991,-30.816
3111,4.991,-30.657
3112,4.991,-30.113
3113,4.991,-29.995
3114,4.991,-29.786
3115,4.991,-30.168
3116,4.991,-30.162
3117,4.991,-30.805
3118,4.991,-31.3
3119,4.991,-31.451
3120,4.991,-31.846
3121,4.991,-31.882
3122,4.991,-32.261
3123,4.991,-32.516
3124,4.991,-33.373
3125,4.991,-33.566
3126,4.991,-33.099
3127,4.991,-33.717
3128,4.991,-33.456
3129,4.991,-33.568
3130,4.991,-33.093
3131,4.991,-34.142
3132,4.991,-34.944
3133,4.991,-34.92
3134,4.991,-35.878
3135,4.991,-34.615
3136,4.991,-34.244
3137,4.991,-34.129
3138,4.991,-34.972
3139,4.991,-34.151
3140,4.991,-34.878
3141,4.991,-33.903
3142,4.991,-33.653
3143,4.991,-34.848
3144,4.991,-32.917
3145,4.991,-33.285
3146,4.991,-33.002
3147,4.991,-31.745
3148,4.991,-31.624
3149,4.991,-31.382
3150,4.991,-30.638
3151,4.991,-30.931
3152,4.991,-29.956
3153,4.991,-29.3
3154,4.991,-29.377
3155,4.991,-28.542
3156,4.991,-28.02
3157,4.991,-27.38
3158,4.991,-26.836
3159,4.991,-26.545
3160,4.991,-26.457
3161,4.991,-26.204
3162,4.991,-25.828
3163,4.991,-25.814
3164,4.991,-25.834
3165,4.991,-25.872
3166,4.991,-26.053
3167,4.991,-26.139
3168,4.991,-26.251
